"","country","total_cases","total_deaths","total_cases_per_100k","total_deaths_per_100k"
"1","United States",10036875.571,193380.291,3032.26444319039,58.4225814363352
"2","Brazil",4017414.575,88375.145,1890.01963916827,41.5766798636517
"3","Mexico",774062.859,71705.001,600.361693199865,55.6142635068065
"4","United Kingdom",1927495.425,54308.853,2839.31195154748,80.0000733582728
"5","Germany",906062.571,42288.856,1081.4274393501,50.4736987498023
"6","Russia",1304102.427,36375.571,893.621990995135,24.9259640252207
"7","Italy",1179577.714,30044.429,1950.94616391684,49.6915657263952
"8","France",1515727.002,27396.001,2224.17967318539,40.2009256748509
"9","South Africa",514262.424,24204.573,867.094558992957,40.8111745513179
"10","Spain",1312627.866,22272.002,2807.47290817284,47.635772365792
"11","Poland",655455.427,19975.568,1731.87377573233,52.7803431774132
"12","Colombia",700543.141,18852.002,1376.77561869331,37.0497906525896
"13","Indonesia",705143.712,17150.286,257.799933118025,6.27012977427642
"14","Czechia",723817.144,12273.287,6758.97245882008,114.607410863143
"15","Peru",407206.855,11558.431,1235.01382057893,35.0554561003348
"16","Ukraine",456142.288,11385.149,1042.99812874535,26.0328617075884
"17","Argentina",608920.428,11073.713,1347.29496519111,24.5016542142864
"18","India",1192610.57,10761.429,86.420781191938,0.779811217773776
"19","Portugal",415201.715,10007.426,4071.91964033094,98.1437046293475
"20","Turkey",734362.716,9427.857,870.726630162983,11.1785170684897
"21","Hungary",203627.573,7925.288,2107.86951818516,82.0393464004927
"22","Canada",356815.713,7133.569,945.403605310635,18.9007983830919
"23","Slovakia",168739.715,6691.143,3090.67305316483,122.556419897784
"24","Iran",548356.713,6497.998,652.860381036966,7.73636093018422
"25","Romania",244197.142,6240.285,1269.36884599714,32.437821770835
"26","Japan",223687.853,5483.143,176.861256661694,4.33530720792323
"27","Chile",293200.144,5260.143,1533.77766480791,27.5166639996455
"28","Netherlands",396663.429,5011.283,2314.94817031909,29.246105296491
"29","Sweden",308360.145,4767.285,3053.29142601396,47.2042533767291
"30","Bulgaria",85365.282,4170.146,1228.55231638158,60.0155286542529
"31","Lebanon",247220.284,4018.57,3622.0406531914,58.8763335766387
"32","Tunisia",108731.003,3886.002,919.997608857483,32.8803418470755
"33","Egypt",57584.86,3876.856,56.2712619723789,3.78841903245383
"34","Philippines",155622.573,3675.57,142.01590812867,3.35420113790624
"35","Pakistan",134884.711,3615.284,61.0635554386902,1.63667248366355
"36","Belgium",170445.859,3227.001,1470.67736325345,27.8438992284127
"37","Austria",141835.572,2921,1574.8309202345,32.4324924498135
"38","Bolivia",104143.146,2859.573,892.168999151806,24.4972663050867
"39","Israel",413182.284,2768.716,4773.61592995747,31.9877867830561
"40","Switzerland",135916.854,2754.14,1570.45468673487,31.8227794687183
"41","Greece",86603.285,2471.856,830.881892988007,23.7152712217991
"42","Ireland",139717.003,2332.143,2829.54182392306,47.2304445141112
"43","Ecuador",92702.429,2251.143,525.432827412025,12.7593682728506
"44","Panama",112826.713,2114.573,2614.89639767422,49.0078029687807
"45","Croatia",45388.142,1952.144,1105.60728312987,47.5521695538513
"46","Guatemala",47547.571,1808.86,265.398080898026,10.0965824860581
"47","Lithuania",71655,1753.718,2632.1579875186,64.4206662696972
"48","Serbia",192698.571,1678.288,2831.88849124915,24.6640358957387
"49","Jordan",197638.713,1647.718,1937.03813727931,16.1491266414065
"50","Bosnia and Herzegovina",35079.278,1588.143,1069.22450671556,48.4069659520576
"51","Morocco",55650.57,1453.858,150.771413425936,3.93886757279584
"52","Moldova",63719.427,1446.857,1579.57390784199,35.8668882188558
"53","Slovenia",84299.427,1339.29,4054.93912258794,64.4220205374683
"54","Paraguay",76707.145,1315.002,1075.45492272728,18.4366837573764
"55","Honduras",58938.143,1272.289,595.057805417438,12.8454250789128
"56","Georgia",52425,1240.431,1314.18150369437,31.0949256425201
"57","Latvia",56860.572,1198.287,3014.55369043189,63.529091793986
"58","Denmark",65193.283,1187.284,1125.53518928808,20.49796942545
"59","Nepal",16469.003,1180.287,56.523017209023,4.05084524015122
"60","Zimbabwe",23242.142,1151.571,156.376614108379,7.74794224583085
"61","Bangladesh",49248.57,1090.143,29.9039131138162,0.661938845201697
"62","Iraq",171365.001,1003.28,426.042608536818,2.49432512939336
"63","Palestine",77389.43,965.002,1517.01860816683,18.9163557725933
"64","Libya",47242.855,951.43,687.540121668619,13.8464599135504
"65","Albania",61177.567,901.289,2125.84498575301,31.3186809368268
"66","Malawi",26463.141,896.714,138.33352456919,4.68748619638677
"67","North Macedonia",31439.859,885.858,1509.0794286208,42.5202315468133
"68","South Korea",37663.86,825.431,73.4629611710411,1.60999444832191
"69","Dominican Republic",78825.139,824.572,726.639348947041,7.60121033519471
"70","Zambia",64958.427,778.144,353.343029106466,4.2327342384849
"71","Azerbaijan",25587.571,756.999,252.363441798766,7.46608082018508
"72","Malaysia",217782.001,756.428,672.872812387865,2.33710698492906
"73","Nigeria",75839.145,753.998,36.7901896495019,0.365770597958945
"74","Costa Rica",44106.715,741.717,865.836826580638,14.5602748583954
"75","United Arab Emirates",224992.284,740.854,2274.85525357923,7.4906373857478
"76","Belarus",114670.713,708.865,1213.5338930702,7.50175594627381
"77","Ethiopia",53812.714,649.857,46.808487171107,0.565272047931909
"78","El Salvador",17068.856,642.854,263.156445506391,9.91110204571212
"79","Myanmar",19621.001,583.289,36.0615241439804,1.07202942176182
"80","Senegal",18258.145,579.287,109.043366760372,3.45968359877281
"81","Mozambique",46366.577,566,148.347245847002,1.81088505087195
"82","Uruguay",55403.281,557.001,1594.9232913237,16.0346797546267
"83","Estonia",60374.718,513.572,4551.29611718917,38.7151828932282
"84","Armenia",20886.57,488.714,704.857260682079,16.4925888404358
"85","Eswatini",8508.006,488.71,733.345113277088,42.124216921056
"86","Sudan",6021.429,482.86,13.7321080540704,1.10118141308125
"87","Kazakhstan",76936.142,477.432,409.742464426803,2.5426822711778
"88","Montenegro",37141.432,473.003,5913.65693195895,75.3115138314371
"89","Venezuela",33828.427,424.861,118.963619388321,1.4940985076528
"90","Syria",5453.572,420.432,31.1620986572104,2.40237837928027
"91","Botswana",20450.577,398.429,869.635975123585,16.9427098283102
"92","Saudi Arabia",20436.14,378.141,58.701149171392,1.08617925150343
"93","Ghana",33368.284,354.572,107.386937414526,1.14109557365741
"94","Sri Lanka",46633.285,337.143,217.777707727692,1.57445973871318
"95","Algeria",16829.862,304.291,38.3796161929375,0.693919640634317
"96","Afghanistan",4806.712,290.43,12.3475901528914,0.746063131742501
"97","Namibia",18880.001,273.855,743.039163829108,10.7778061140156
"98","Kenya",18357.143,260.568,34.1392954977841,0.484585643270667
"99","Lesotho",7626.28,257.999,355.993599259097,12.0433543766093
"100","Finland",32085.285,254.712,579.08171828994,4.59709373406118
"101","Kuwait",61112.14,248.138,1431.00897937813,5.81042827374283
"102","Somalia",4577.572,243.859,28.8020444442375,1.53435877275711
"103","Cuba",50794.854,230.576,448.455690561064,2.03570068942039
"104","Luxembourg",12176.284,214.577,1945.16786586067,34.2787902411594
"105","Norway",33799.003,213.861,623.454975815505,3.94487093547936
"106","Rwanda",12259.859,202.14,94.6545797709101,1.56066042479704
"107","Jamaica",18570.857,195.712,627.147831543101,6.60929952812427
"108","Cameroon",14344.993,152.999,54.0385236660595,0.576357205777895
"109","Malta",14326.144,142.57,3244.59311634986,32.2893334450637
"110","Democratic Republic of Congo",10044.284,138.568,11.2149693410345,0.15471843206031
"111","Comoros",2895.43,138.002,332.963046015674,15.8696864632386
"112","Kyrgyzstan",6441.143,134.002,98.7270758933943,2.05392515332552
"113","Bahrain",39777,134,2337.64676774509,7.8750199079328
"114","Cyprus",19383.143,125.573,2212.94270229787,14.3364703007995
"115","Angola",4103.861,119.573,12.4865439544277,0.363816786256353
"116","Oman",18667.571,114.718,365.556154342342,2.24645568048702
"117","Mauritania",3647.857,113.996,78.4542740759539,2.45170614625586
"118","Mali",2201.997,104.998,10.873611427559,0.518487287980337
"119","Yemen",815.711,90.723,2.73490201558588,0.304174536766083
"120","Uganda",6457.712,85.719,14.1179947967906,0.187400800157408
"121","Niger",1720.711,84.286,7.10842679668501,0.348193776285148
"122","Belize",1768.146,79.432,444.681241684921,19.9768120899047
"123","Cote d'Ivoire",15631.147,77.144,59.2576542628356,0.292452785483509
"124","Madagascar",3733.004,67.283,13.4809195717933,0.242977696125953
"125","Burkina Faso",5954.288,64.001,28.4849486286314,0.306176858959633
"126","China",5690.715,63.858,0.395374209944788,0.00443666679822382
"127","Suriname",2987.572,56,509.273584551867,9.54598608331601
"128","Chad",2295.002,50.994,13.9718842101348,0.310449517434674
"129","Saint Lucia",3720.139,47.432,2025.899503891,25.8303427018608
"130","Cape Verde",4389.719,44.43,789.534846075815,7.99117966574817
"131","Guyana",2916.855,44.426,370.837406984092,5.64814591149552
"132","South Sudan",6054.574,42.432,54.0889814287982,0.379069387868869
"133","Benin",3282.854,37.002,27.079108994178,0.305216494855565
"134","Gabon",7401.57,36.005,332.546025390344,1.61767295913966
"135","Gambia",1227.855,31.29,50.8078491672818,1.2947600493904
"136","Barbados",3076.142,31,1070.44273778495,10.7874489771063
"137","Andorra",3406.432,29.289,4408.76464117,37.9072024849544
"138","Togo",4641.996,28.293,56.0713065290032,0.341755028575011
"139","Thailand",20647.429,26.435,29.5808531630196,0.0378725047735689
"140","Congo",2474.295,25.288,44.8396837167629,0.458274345552774
"141","Monaco",1302.284,24.012,3318.42829477117,61.1864234023035
"142","Guinea",4222.571,23.435,32.1528811238311,0.178446441548758
"143","Qatar",27477.859,22.86,953.74129660611,0.793457963388475
"144","Antigua and Barbuda",818.145,21.715,835.455640879013,22.1744547014133
"145","Liechtenstein",561.861,20.723,1473.27005270472,54.3383066313554
"146","San Marino",1875.855,19.725,5527.29978195533,58.120690671224
"147","Maldives",8047.427,16.012,1488.76997532107,2.9622120020276
"148","Seychelles",3121.147,16.011,3173.83262151719,16.281269066504
"149","Bahamas",899.573,15.859,228.754628122711,4.03282407030678
