Country name,Regional indicator,Ladder score,country,total_cases,total_deaths,total_cases_per_100k,total_deaths_per_100k,death_case_ratio
Finland,Western Europe,7.842,Finland,35279.432,540.723,636.7303299,9.759078156,0.015326862
Denmark,Western Europe,7.62,Denmark,156730.717,1206.447,2705.891299,20.82881073,0.007697579
Switzerland,Western Europe,7.571,Switzerland,437931.577,7379.433,5060.091352,85.26584304,0.016850653
Iceland,Western Europe,7.554,Iceland,5713.864,28.438,1674.392381,8.333479853,0.004977017
Netherlands,Western Europe,7.464,Netherlands,781631.141,11221.282,4561.639535,65.48797881,0.014356237
Norway,Western Europe,7.392,Norway,47769.001,428.177,881.1449664,7.898134782,0.008963491
Sweden,Western Europe,7.363,Sweden,412492.862,8407.001,4084.38295,83.24365028,0.020380961
Luxembourg,Western Europe,7.324,Luxembourg,45769.857,477.148,7311.759077,76.22464759,0.01042494
New Zealand,North America and ANZ,7.277,New Zealand,2148.15,25.008,44.54678984,0.518597919,0.011641645
Austria,Western Europe,7.268,Austria,354137.864,5981.134,3932.069018,66.40981968,0.016889281
Australia,North America and ANZ,7.183,Australia,28340.991,908.727,111.1416598,3.563651924,0.032064052
Israel,Middle East and North Africa,7.157,Israel,407719.141,3257.431,4710.498639,37.6340543,0.007989399
Germany,Western Europe,7.155,Germany,1686255.846,31465.146,2012.624073,37.55510199,0.01865977
Canada,North America and ANZ,7.103,Canada,561451.002,15350.857,1487.596488,40.67297214,0.027341401
Ireland,Western Europe,7.085,Ireland,87554.136,2211.283,1773.142025,44.78279378,0.02525618
Costa Rica,Latin America and Caribbean,7.069,Costa Rica,165563.001,2130.582,3250.084333,41.82438791,0.012868709
United Kingdom,Western Europe,7.064,United Kingdom,2349818.861,71549.426,3461.418735,105.3964319,0.030448911
Czech Republic,Central and Eastern Europe,6.965,NA,NA,NA,NA,NA,NA
United States,North America and ANZ,6.951,United States,19463947,342636.995,5880.299502,103.5148807,0.017603675
Belgium,Western Europe,6.834,Belgium,640861.286,19287.281,5529.616219,166.4186372,0.030095875
France,Western Europe,6.69,France,2630651.138,63543.424,3860.220726,93.24369879,0.024155017
Bahrain,Middle East and North Africa,6.647,Bahrain,91941.71,351.29,5403.304452,20.64489361,0.00382079
Malta,Western Europe,6.602,Malta,12437.72,212.012,2816.901791,48.0165965,0.017045889
Taiwan Province of China,East Asia,6.584,NA,NA,NA,NA,NA,NA
United Arab Emirates,Middle East and North Africa,6.561,United Arab Emirates,203347.717,660.133,2056.011051,6.674482326,0.003246326
Saudi Arabia,Middle East and North Africa,6.494,Saudi Arabia,362335.008,6195.139,1040.777826,17.79503265,0.017097821
Spain,Western Europe,6.491,Spain,1882305.136,50223.146,4025.909255,107.4181993,0.026681724
Italy,Western Europe,6.483,Italy,2060799.725,72566.714,3408.43106,120.0207079,0.03521289
Slovenia,Central and Eastern Europe,6.461,Slovenia,116754.422,2598.865,5616.077005,125.0096203,0.022259243
Guatemala,Latin America and Caribbean,6.435,Guatemala,136064.287,4779.289,759.4751927,26.67673873,0.035125227
Uruguay,Latin America and Caribbean,6.431,Uruguay,17366.29,161.605,499.9324933,4.652207845,0.009305672
Singapore,Southeast Asia,6.377,Singapore,58448.706,29.016,999.0646019,0.49597092,0.000496435
Kosovo,Central and Eastern Europe,6.372,NA,NA,NA,NA,NA,NA
Slovakia,Central and Eastern Europe,6.331,Slovakia,170116.43,1900.292,3115.889262,34.80615857,0.011170538
Brazil,Latin America and Caribbean,6.33,Brazil,7537457.291,192213.861,3546.04735,90.42830045,0.025501154
Mexico,Latin America and Caribbean,6.317,Mexico,1394837.427,123384.727,1081.833277,95.6969615,0.088458142
Jamaica,Latin America and Caribbean,6.309,Jamaica,12725.575,297.587,429.7495138,10.04967308,0.023384955
Lithuania,Central and Eastern Europe,6.255,Lithuania,134199.575,1653.866,4929.655757,60.75272629,0.012323929
Cyprus,Western Europe,6.223,Cyprus,20591.997,114.3,2350.955647,13.04944977,0.0055507
Estonia,Central and Eastern Europe,6.189,Estonia,26047.577,214.157,1963.574158,16.144041,0.008221763
Panama,Latin America and Caribbean,6.18,Panama,235453.71,3887.577,5456.926305,90.09932863,0.016511003
Uzbekistan,Commonwealth of Independent States,6.179,Uzbekistan,76816.284,613.013,229.5133624,1.831573561,0.007980248
Chile,Latin America and Caribbean,6.172,Chile,602321.849,16463.289,3150.843606,86.12214378,0.027333043
Poland,Central and Eastern Europe,6.166,Poland,1266678.289,27477.856,3346.874281,72.60322557,0.021692845
Kazakhstan,Commonwealth of Independent States,6.152,Kazakhstan,198721.576,2718.282,1058.340933,14.47688351,0.013678847
Romania,Central and Eastern Europe,6.14,Romania,620518.573,15360.998,3225.537115,79.84848694,0.024755098
Kuwait,Middle East and North Africa,6.106,Kuwait,149862.859,931.006,3509.20614,21.8005448,0.006212386
Serbia,Central and Eastern Europe,6.078,Serbia,328981.858,3072.854,4834.700811,45.15850757,0.009340497
El Salvador,Latin America and Caribbean,6.061,El Salvador,45227.997,1310.146,697.2956435,20.19897317,0.028967588
Mauritius,Sub-Saharan Africa,6.049,Mauritius,518.441,9.575,40.7654075,0.752889484,0.018468833
Latvia,Central and Eastern Europe,6.032,Latvia,37432.139,574.022,1984.524404,30.43268961,0.015335004
Colombia,Latin America and Caribbean,6.012,Colombia,1605995.008,42417.152,3156.257825,83.36231885,0.026411758
Hungary,Central and Eastern Europe,5.992,Hungary,317409.425,9178.577,3285.692806,95.01288256,0.028917153
Thailand,Southeast Asia,5.985,Thailand,6479.008,60.865,9.282249344,0.087199168,0.009394185
Nicaragua,Latin America and Caribbean,5.972,Nicaragua,6013.455,164.46,90.77524313,2.482582224,0.027348671
Japan,East Asia,5.94,Japan,224480.565,3147.998,177.4880231,2.488999178,0.014023477
Argentina,Latin America and Caribbean,5.929,Argentina,1595460.424,42838.141,3530.109514,94.78350378,0.026850018
Portugal,Western Europe,5.929,Portugal,399388.292,6688.148,3916.836014,65.59125412,0.016745979
Honduras,Latin America and Caribbean,5.919,Honduras,120029.421,3087.003,1211.854331,31.1673415,0.025718719
Croatia,Central and Eastern Europe,5.882,Croatia,206330.143,3735.143,5025.984735,90.98414525,0.01810275
Philippines,Southeast Asia,5.88,Philippines,470749.003,9141.568,429.5896532,8.342286445,0.019419198
South Korea,East Asia,5.845,South Korea,57219.29,842.421,111.6056209,1.643133264,0.014722675
Peru,Latin America and Caribbean,5.84,Peru,1008177.993,37472.287,3057.693503,113.649345,0.037168325
Bosnia and Herzegovina,Central and Eastern Europe,5.813,Bosnia and Herzegovina,110033.429,3977.567,3353.844365,121.2371621,0.036148714
Moldova,Commonwealth of Independent States,5.766,Moldova,142289.152,2919.005,3527.279551,72.36072815,0.0205146
Ecuador,Latin America and Caribbean,5.764,Ecuador,210217.575,14002.577,1191.50292,79.36592065,0.066609925
Kyrgyzstan,Commonwealth of Independent States,5.744,Kyrgyzstan,80515.146,1349.009,1234.101607,20.67703107,0.016754723
Greece,Western Europe,5.723,Greece,136439.707,4670.57,1309.018267,44.80998663,0.03423175
Bolivia,Latin America and Caribbean,5.716,Bolivia,156247.437,9118.435,1338.533786,78.1154146,0.058358941
Mongolia,East Asia,5.677,Mongolia,1162.865,0.429,35.47167244,0.013086083,0.000368916
Paraguay,Latin America and Caribbean,5.653,Paraguay,105551.286,2206.01,1479.857582,30.92885694,0.020899887
Montenegro,Central and Eastern Europe,5.581,Montenegro,47047.584,670.156,7490.913954,106.7022046,0.014244217
Dominican Republic,Latin America and Caribbean,5.545,Dominican Republic,167681.142,2406.279,1545.74692,22.18197174,0.014350326
North Cyprus,Western Europe,5.536,NA,NA,NA,NA,NA,NA
Belarus,Commonwealth of Independent States,5.534,Belarus,188615.282,1394.849,1996.072332,14.76136751,0.007395207
Russia,Commonwealth of Independent States,5.477,Russia,3046284.864,54604.711,2087.43354,37.41728376,0.017925018
Hong Kong S.A.R. of China,East Asia,5.477,NA,NA,NA,NA,NA,NA
Tajikistan,Commonwealth of Independent States,5.466,Tajikistan,13163.579,88.899,138.0171221,0.932085729,0.006753407
Vietnam,Southeast Asia,5.411,Vietnam,1433.439,35.002,1.472631875,0.035959019,0.0244182
Libya,Middle East and North Africa,5.41,Libya,98879.293,1441.008,1439.021438,20.97144247,0.014573405
Malaysia,Southeast Asia,5.384,Malaysia,107028.856,456.871,330.6830088,1.411577051,0.004268671
Indonesia,Southeast Asia,5.345,Indonesia,720707.138,21473.573,263.4899082,7.850719774,0.029795144
Congo (Brazzaville),Sub-Saharan Africa,5.342,NA,NA,NA,NA,NA,NA
China,East Asia,5.339,China,17560.291,2090.168,1.220037584,0.14521875,0.119028096
Ivory Coast,Sub-Saharan Africa,5.306,NA,NA,NA,NA,NA,NA
Armenia,Commonwealth of Independent States,5.283,Armenia,158067.431,2779.282,5334.287842,93.79218786,0.017582888
Nepal,South Asia,5.269,Nepal,258873.426,1833.573,888.4755873,6.292978284,0.007082894
Bulgaria,Central and Eastern Europe,5.266,Bulgaria,199002.718,7300.722,2863.989252,105.0698682,0.036686544
Maldives,South Asia,5.198,Maldives,13665.862,48.027,2528.177644,8.884971011,0.003514378
Azerbaijan,Commonwealth of Independent States,5.171,Azerbaijan,215436.002,2533.153,2124.788279,24.98381772,0.011758262
Cameroon,Sub-Saharan Africa,5.142,Cameroon,26275.866,448.007,98.98289993,1.687671571,0.017050133
Senegal,Sub-Saharan Africa,5.132,Senegal,18729.284,394.013,111.8571566,2.353169178,0.02103727
Albania,Central and Eastern Europe,5.117,Albania,56724.288,1159.445,1971.099034,40.28928348,0.02044001
North Macedonia,Central and Eastern Europe,5.101,North Macedonia,82037.857,2456.157,3937.728931,117.8928952,0.029939312
Ghana,Sub-Saharan Africa,5.088,Ghana,54489.571,333.878,175.3601759,1.074497445,0.006127374
Niger,Sub-Saharan Africa,5.074,Niger,3151.428,98.299,13.01885979,0.406082861,0.031191891
Turkmenistan,Commonwealth of Independent States,5.066,NA,NA,NA,NA,NA,NA
Gambia,Sub-Saharan Africa,5.051,Gambia,3793.439,123.447,156.9700629,5.108157361,0.032542239
Benin,Sub-Saharan Africa,5.045,Benin,3216.993,44.011,26.53584475,0.363031273,0.013680788
Laos,Southeast Asia,5.03,Laos,37.436,0,0.514544868,0,0
Bangladesh,South Asia,5.025,Bangladesh,510263.434,7479.414,309.8338367,4.541527732,0.014657946
Guinea,Sub-Saharan Africa,4.984,Guinea,13680.863,80.169,104.1733015,0.61044902,0.005859937
South Africa,Sub-Saharan Africa,4.956,South Africa,1016045.429,27239.006,1713.14765,45.92751248,0.026808847
Turkey,Middle East and North Africa,4.948,Turkey,1340127.421,20131.284,1588.975867,23.86946491,0.015021918
Pakistan,South Asia,4.934,Pakistan,475475.71,9991.291,215.2522488,4.523149787,0.021013252
Morocco,Middle East and North Africa,4.918,Morocco,433652.859,7277.563,1174.874839,19.71675151,0.016782002
Venezuela,Latin America and Caribbean,4.892,Venezuela,112564.005,1018.434,395.8511416,3.581502467,0.009047599
Georgia,Commonwealth of Independent States,4.891,Georgia,222920.149,2412.737,5588.126593,60.4821047,0.010823324
Algeria,Middle East and North Africa,4.887,Algeria,98583.134,2736.424,224.8136584,6.240271184,0.027757527
Ukraine,Commonwealth of Independent States,4.875,Ukraine,1062998.146,18687.285,2430.612347,42.72965651,0.017579791
Iraq,Middle East and North Africa,4.854,Iraq,592583.849,12787.716,1473.264478,31.79244216,0.021579589
Gabon,Sub-Saharan Africa,4.852,Gabon,9521.131,64.028,427.7760355,2.876721684,0.006724831
Burkina Faso,Sub-Saharan Africa,4.834,Burkina Faso,6420.426,80.153,30.71492423,0.383447036,0.012484063
Cambodia,Southeast Asia,4.83,Cambodia,365.158,0,2.184093746,0,0
Mozambique,Sub-Saharan Africa,4.794,Mozambique,18332.425,161.575,58.65355897,0.516950092,0.008813618
Nigeria,Sub-Saharan Africa,4.759,Nigeria,85040.842,1263.577,41.25400814,0.61297154,0.014858472
Mali,Sub-Saharan Africa,4.723,Mali,6750.852,257.431,33.33616778,1.271211842,0.038133113
Iran,Middle East and North Africa,4.721,Iran,1206545.141,54803.865,1436.483774,65.24817028,0.045422142
Uganda,Sub-Saharan Africa,4.636,Uganda,34120.996,248.294,74.59608666,0.542825911,0.007276868
Liberia,Sub-Saharan Africa,4.625,Liberia,1777.859,83.016,35.15169118,1.641385956,0.046694367
Kenya,Sub-Saharan Africa,4.607,Kenya,96044.004,1661.714,178.6157374,3.090336295,0.01730159
Tunisia,Middle East and North Africa,4.596,Tunisia,133536.565,4523.011,1129.883079,38.27021907,0.033870955
Lebanon,Middle East and North Africa,4.584,Lebanon,173741.57,1414.739,2545.499178,20.72743421,0.008142778
Namibia,Sub-Saharan Africa,4.574,Namibia,22426.43,193.426,882.6120187,7.612451573,0.008624913
Palestinian Territories,Middle East and North Africa,4.517,NA,NA,NA,NA,NA,NA
Myanmar,Southeast Asia,4.426,Myanmar,122530.567,2618.863,225.1994687,4.813219841,0.02137314
Jordan,Middle East and North Africa,4.395,Jordan,289757.863,3775.149,2839.889122,36.99987455,0.013028633
Chad,Sub-Saharan Africa,4.355,Chad,2030,103.592,12.35856219,0.630664125,0.051030542
Sri Lanka,South Asia,4.325,Sri Lanka,41552.714,193.72,194.0514121,0.904673508,0.00466203
Swaziland,Sub-Saharan Africa,4.308,NA,NA,NA,NA,NA,NA
Comoros,Sub-Saharan Africa,4.289,Comoros,743.142,8.006,85.45840305,0.920658467,0.010773177
Egypt,Middle East and North Africa,4.283,Egypt,133973.433,7465.573,130.9172957,7.295271953,0.055724279
Ethiopia,Sub-Saharan Africa,4.275,Ethiopia,123113.855,1910.44,107.0894381,1.661778409,0.015517669
Mauritania,Sub-Saharan Africa,4.227,Mauritania,13819.856,329.873,297.2229367,7.094561753,0.023869496
Madagascar,Sub-Saharan Africa,4.208,Madagascar,17685.437,260.712,63.86705018,0.941503814,0.01474162
Togo,Sub-Saharan Africa,4.107,Togo,3582.147,68.024,43.26924506,0.821671228,0.018989729
Zambia,Sub-Saharan Africa,4.073,Zambia,20053.14,384.154,109.0795692,2.089615532,0.0191568
Sierra Leone,Sub-Saharan Africa,3.849,Sierra Leone,2567.144,76.017,32.18188326,0.95295403,0.029611506
India,South Asia,3.819,India,10223903,148133.436,740.8601823,10.73427285,0.014488932
Burundi,Sub-Saharan Africa,3.775,Burundi,800.423,2.002,6.731458598,0.016836573,0.002501178
Yemen,Middle East and North Africa,3.658,Yemen,2094.423,608.158,7.022145937,2.039021835,0.290370188
Tanzania,Sub-Saharan Africa,3.623,Tanzania,506.571,21,0.848041641,0.035155732,0.041455196
Haiti,Latin America and Caribbean,3.615,Haiti,9919.572,235.578,86.99445992,2.06601463,0.023748807
Malawi,Sub-Saharan Africa,3.6,Malawi,6405.142,188.16,33.48226381,0.983588304,0.029376398
Lesotho,Sub-Saharan Africa,3.512,Lesotho,2902.715,51.012,135.4982981,2.38123246,0.017573892
Botswana,Sub-Saharan Africa,3.467,Botswana,14230.158,39.746,605.1202041,1.690150428,0.002793082
Rwanda,Sub-Saharan Africa,3.415,Rwanda,8041.427,78.156,62.08537092,0.603418305,0.00971917
