"","Country name","Regional indicator","Ladder score","Standard error of ladder score","upperwhisker","lowerwhisker","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","Ladder score in Dystopia","Explained by: Log GDP per capita","Explained by: Social support","Explained by: Healthy life expectancy","Explained by: Freedom to make life choices","Explained by: Generosity","Explained by: Perceptions of corruption","Dystopia + residual","region","country","total_cases","total_deaths","total_cases_per_100k","total_deaths_per_100k","death_case_ratio","location","people_vaccinated","people_fully_vaccinated","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred"
"1","Finland","Western Europe",7.842,0.032,7.904,7.78,10.775,0.954,72,0.949,-0.098,0.186,2.43,1.446,1.106,0.741,0.691,0.124,0.481,3.253,"Finland","Finland",35279.432,540.722999999999,636.730329895873,9.75907815557479,0.0153268624052677,NA,NA,NA,NA,NA
"2","Denmark","Western Europe",7.62,0.035,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179,2.43,1.502,1.108,0.763,0.686,0.208,0.485,2.868,"Denmark","Denmark",156730.717,1206.447,2705.8912990446,20.8288107305631,0.00769757851615009,"Denmark",32605,1,0.56,0
"3","Switzerland","Western Europe",7.571,0.036,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292,2.43,1.566,1.079,0.816,0.653,0.204,0.413,2.839,"Switzerland","Switzerland",437931.577,7379.433,5060.09135238552,85.265843044719,0.0168506529046203,"Switzerland",6280,9,0.07,0
"4","Iceland","Western Europe",7.554,0.059,7.67,7.438,10.878,0.983,73,0.955,0.16,0.673,2.43,1.482,1.172,0.772,0.698,0.293,0.17,2.967,"Iceland","Iceland",5713.864,28.438,1674.39238095238,8.33347985347986,0.00497701730387703,"Iceland",4875,NA,1.42,NA
"5","Netherlands","Western Europe",7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,"Netherlands","Netherlands",781631.141,11221.282,4561.63953476632,65.4879788137327,0.014356237119268,"Netherlands",0,0,0,0
"6","Norway","Western Europe",7.392,0.035,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27,2.43,1.543,1.108,0.782,0.703,0.249,0.427,2.58,"Norway","Norway",47769.001,428.176999999999,881.144966411755,7.89813478166077,0.00896349077930264,"Norway",2391,NA,0.04,NA
"7","Sweden","Western Europe",7.363,0.036,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237,2.43,1.478,1.062,0.763,0.685,0.244,0.448,2.683,"Sweden","Sweden",412492.862,8407.001,4084.38295045087,83.2436502836344,0.0203809611619413,"Sweden",0,0,0,0
"8","Luxembourg","Western Europe",7.324,0.037,7.396,7.252,11.647,0.908,72.6,0.907,-0.034,0.386,2.43,1.751,1.003,0.76,0.639,0.166,0.353,2.653,"Luxembourg","Luxembourg",45769.857,477.148,7311.75907702532,76.2246475903229,0.0104249397152366,"Luxembourg",1251,NA,0.2,NA
"9","New Zealand","North America and ANZ",7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,"New Zealand","New Zealand",2148.15,25.008,44.54678983782,0.518597919262715,0.0116416451365128,"New Zealand",0,0,0,0
"10","Austria","Western Europe",7.268,0.036,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481,2.43,1.492,1.062,0.782,0.64,0.215,0.292,2.784,"Austria","Austria",354137.864,5981.134,3932.06901758749,66.4098196837805,0.0168892812884871,"Austria",5185,NA,0.06,NA
"11","Australia","North America and ANZ",7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,"Australia","Australia",28340.991,908.727000000001,111.14165983755,3.5636519244933,0.0320640516769509,"Australia",0,0,0,0
"12","Israel","Middle East and North Africa",7.157,0.034,7.224,7.09,10.575,0.939,73.503,0.8,0.031,0.753,2.43,1.376,1.074,0.788,0.509,0.208,0.119,3.083,"Israel","Israel",407719.141,3257.431,4710.49863896433,37.6340543011696,0.00798939925167752,"Israel",991577,1,10.67,0
"13","Germany","Western Europe",7.155,0.04,7.232,7.077,10.873,0.903,72.5,0.875,0.011,0.46,2.43,1.48,0.993,0.757,0.6,0.195,0.306,2.824,"Germany","Germany",1686255.846,31465.146,2012.62407254755,37.5551019947795,0.018659769853216,"Germany",206507,846,0.25,0
"14","Canada","North America and ANZ",7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,2.43,1.447,1.044,0.798,0.648,0.246,0.335,2.585,"Canada","Canada",561451.002,15350.857,1487.59648792728,40.6729721356413,0.0273414010222035,"Canada",98656,1,0.26,0
