"location","people_vaccinated","people_fully_vaccinated","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred"
"Afghanistan",4397449,3566192,11.04,8.95
"Africa",160680802,105893196,11.7,7.71
"Albania",1087187,978333,37.84,34.05
"Algeria",6875003,5391232,15.41,12.08
"Andorra",54999,49535,71.1,64.04
"Angola",6737721,3280340,19.86,9.67
"Anguilla",10038,9213,66.37,60.91
"Antigua and Barbuda",61420,57345,62.21,58.08
"Argentina",37057428,30397618,81.26,66.65
"Armenia",835816,516989,28.16,17.42
"Aruba",83844,78277,78.22,73.02
"Asia",2976376249,2371770677,63.62,50.7
"Australia",20142711,19101361,78.11,74.07
"Austria",6414044,6069810,70.93,67.12
"Azerbaijan",5103256,4597903,49.92,44.97
"Bahamas",151709,138266,38.22,34.84
"Bahrain",1191152,1163310,68.13,66.54
"Bangladesh",65176140,38492566,39.19,23.15
"Barbados",154081,138416,53.55,48.11
"Belarus",3618830,2712219,38.32,28.72
"Belgium",8853763,8717137,76.11,74.94
"Belize",228517,195230,56.44,48.22
"Benin",774881,652351,6.22,5.24
"Bermuda",48464,47365,78.05,76.28
"Bhutan",589215,564340,75.55,72.36
"Bolivia",5148121,4241829,43.51,35.85
"Bonaire Sint Eustatius and Saba",19109,16736,72.26,63.29
"Bosnia and Herzegovina",833233,720641,25.53,22.08
"Botswana",921104,508980,38.42,21.23
"Brazil",164711745,137905915,76.97,64.44
"British Virgin Islands",18288,16704,60.11,54.91
"Brunei",404557,357604,91.63,80.99
"Bulgaria",NA,1815336,NA,26.32
"Burkina Faso",364565,297231,1.7,1.38
"Burundi",1834,1000,0.01,0.01
"Cambodia",14159169,13414877,83.55,79.16
"Cameroon",792208,611800,2.91,2.25
"Canada",30976960,29136034,81.37,76.54
"Cape Verde",299770,250238,53.35,44.53
"Cayman Islands",58143,56187,87.44,84.49
"Central African Republic",375096,334906,7.62,6.81
"Chad",198522,76504,1.17,0.45
"Chile",16912417,16237305,88.03,84.51
"China",NA,NA,NA,NA
